sp_name;reason;actual_sp_name_NCBI;actual_sp_name_SILVA;comments
Arthrobacter oxydans;Basionym;Pseudarthrobacter oxydans;Pseudarthrobacter oxydans;
Enterobacter amnigenus;Basionym;Lelliottia amnigena;Lelliottia amnigena;
Pantoea cedenensis;Misspelled;[Pantoea] cedenensis;[Pantoea] cedenensis;awaits appropriate action by the research community to be transferred to another genus.
Shewanella haliotis;Synonym;Shewanella algae;Shewanella algae;
Vibrio communis;Synonym;Vibrio owensii;Vibrio owensii;
Vibrio shilonii;Synonym;Vibrio mediterranei;Vibrio mediterranei;
