sp_name;reason;actual_sp_name_NCBI;actual_sp_name_SILVA;comments
Pasteuria ramosa;no record in silva;Pasteuria ramosa;;
Vibrio cyclithrophicus;misspelled;Vibrio cyclitrophicus;Vibrio cyclitrophicus;
